c905  49 70     EOR #$70                        A:70 X:00 Y:00 P:2d SP:fb PPU:  0, 21 CYC:7
c907  d0 09     BNE $c912                       A:00 X:00 Y:00 P:2f SP:fb PPU:  0, 21 CYC:7
c909  70 07     BVS $c912                       A:00 X:00 Y:00 P:2f SP:fb PPU:  0, 21 CYC:7
c90b  90 05     BCC $c912                       A:00 X:00 Y:00 P:2f SP:fb PPU:  0, 21 CYC:7
c90d  30 03     BMI $c912                       A:00 X:00 Y:00 P:2f SP:fb PPU:  0, 21 CYC:7
c90f  4c 16 c9  JMP $c916                       A:00 X:00 Y:00 P:2f SP:fb PPU:  0, 21 CYC:7
c916  ea        NOP                             A:00 X:00 Y:00 P:2f SP:fb PPU:  0, 21 CYC:7
c917  18        CLC                             A:00 X:00 Y:00 P:2f SP:fb PPU:  0, 21 CYC:7
c918  24 01     BIT $01 = ff                    A:00 X:00 Y:00 P:2e SP:fb PPU:  0, 21 CYC:7
c91a  a9 00     LDA #$00                        A:00 X:00 Y:00 P:ee SP:fb PPU:  0, 21 CYC:7
c91c  69 69     ADC #$69                        A:00 X:00 Y:00 P:6e SP:fb PPU:  0, 21 CYC:7
c91e  30 0b     BMI $c92b                       A:69 X:00 Y:00 P:2c SP:fb PPU:  0, 21 CYC:7
c920  b0 09     BCS $c92b                       A:69 X:00 Y:00 P:2c SP:fb PPU:  0, 21 CYC:7
c922  c9 69     CMP #$69                        A:69 X:00 Y:00 P:2c SP:fb PPU:  0, 21 CYC:7
c924  d0 05     BNE $c92b                       A:69 X:00 Y:00 P:2f SP:fb PPU:  0, 21 CYC:7
c926  70 03     BVS $c92b                       A:69 X:00 Y:00 P:2f SP:fb PPU:  0, 21 CYC:7
c928  4c 2f c9  JMP $c92f                       A:69 X:00 Y:00 P:2f SP:fb PPU:  0, 21 CYC:7
c92f  ea        NOP                             A:69 X:00 Y:00 P:2f SP:fb PPU:  0, 21 CYC:7
c930  38        SEC                             A:69 X:00 Y:00 P:2f SP:fb PPU:  0, 21 CYC:7
c931  f8        SED                             A:69 X:00 Y:00 P:2f SP:fb PPU:  0, 21 CYC:7
c932  24 01     BIT $01 = ff                    A:69 X:00 Y:00 P:2f SP:fb PPU:  0, 21 CYC:7
c934  a9 01     LDA #$01                        A:69 X:00 Y:00 P:ed SP:fb PPU:  0, 21 CYC:7
c936  69 69     ADC #$69                        A:01 X:00 Y:00 P:6d SP:fb PPU:  0, 21 CYC:7
c938  30 0b     BMI $c945                       A:6b X:00 Y:00 P:2c SP:fb PPU:  0, 21 CYC:7
c93a  b0 09     BCS $c945                       A:6b X:00 Y:00 P:2c SP:fb PPU:  0, 21 CYC:7
c93c  c9 6b     CMP #$6b                        A:6b X:00 Y:00 P:2c SP:fb PPU:  0, 21 CYC:7
c93e  d0 05     BNE $c945                       A:6b X:00 Y:00 P:2f SP:fb PPU:  0, 21 CYC:7
c940  70 03     BVS $c945                       A:6b X:00 Y:00 P:2f SP:fb PPU:  0, 21 CYC:7
c942  4c 49 c9  JMP $c949                       A:6b X:00 Y:00 P:2f SP:fb PPU:  0, 21 CYC:7
c949  ea        NOP                             A:6b X:00 Y:00 P:2f SP:fb PPU:  0, 21 CYC:7
c94a  d8        CLD                             A:6b X:00 Y:00 P:2f SP:fb PPU:  0, 21 CYC:7
c94b  38        SEC                             A:6b X:00 Y:00 P:27 SP:fb PPU:  0, 21 CYC:7
c94c  b8        CLV                             A:6b X:00 Y:00 P:27 SP:fb PPU:  0, 21 CYC:7
c94d  a9 7f     LDA #$7f                        A:6b X:00 Y:00 P:27 SP:fb PPU:  0, 21 CYC:7
c94f  69 7f     ADC #$7f                        A:7f X:00 Y:00 P:25 SP:fb PPU:  0, 21 CYC:7
c951  10 0b     BPL $c95e                       A:ff X:00 Y:00 P:e4 SP:fb PPU:  0, 21 CYC:7
c953  b0 09     BCS $c95e                       A:ff X:00 Y:00 P:e4 SP:fb PPU:  0, 21 CYC:7
c955  c9 ff     CMP #$ff                        A:ff X:00 Y:00 P:e4 SP:fb PPU:  0, 21 CYC:7
c957  d0 05     BNE $c95e                       A:ff X:00 Y:00 P:67 SP:fb PPU:  0, 21 CYC:7
c959  50 03     BVC $c95e                       A:ff X:00 Y:00 P:67 SP:fb PPU:  0, 21 CYC:7
c95b  4c 62 c9  JMP $c962                       A:ff X:00 Y:00 P:67 SP:fb PPU:  0, 21 CYC:7
c962  ea        NOP                             A:ff X:00 Y:00 P:67 SP:fb PPU:  0, 21 CYC:7
c963  18        CLC                             A:ff X:00 Y:00 P:67 SP:fb PPU:  0, 21 CYC:7
c964  24 01     BIT $01 = ff                    A:ff X:00 Y:00 P:66 SP:fb PPU:  0, 21 CYC:7
c966  a9 7f     LDA #$7f                        A:ff X:00 Y:00 P:e4 SP:fb PPU:  0, 21 CYC:7
c968  69 80     ADC #$80                        A:7f X:00 Y:00 P:64 SP:fb PPU:  0, 21 CYC:7
c96a  10 0b     BPL $c977                       A:ff X:00 Y:00 P:a4 SP:fb PPU:  0, 21 CYC:7
c96c  b0 09     BCS $c977                       A:ff X:00 Y:00 P:a4 SP:fb PPU:  0, 21 CYC:7
c96e  c9 ff     CMP #$ff                        A:ff X:00 Y:00 P:a4 SP:fb PPU:  0, 21 CYC:7
c970  d0 05     BNE $c977                       A:ff X:00 Y:00 P:27 SP:fb PPU:  0, 21 CYC:7
c972  70 03     BVS $c977                       A:ff X:00 Y:00 P:27 SP:fb PPU:  0, 21 CYC:7
