C038  D0 FA     BNE $C034                       A:00 X:D0 Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C034  8D 07 20  STA $2007 = 00                  A:00 X:D0 Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C037  CA        DEX                             A:00 X:D0 Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C038  D0 FA     BNE $C034                       A:00 X:CF Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C034  8D 07 20  STA $2007 = 00                  A:00 X:CF Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C037  CA        DEX                             A:00 X:CF Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C038  D0 FA     BNE $C034                       A:00 X:CE Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C034  8D 07 20  STA $2007 = 00                  A:00 X:CE Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C037  CA        DEX                             A:00 X:CE Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C038  D0 FA     BNE $C034                       A:00 X:CD Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C034  8D 07 20  STA $2007 = 00                  A:00 X:CD Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C037  CA        DEX                             A:00 X:CD Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C038  D0 FA     BNE $C034                       A:00 X:CC Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C034  8D 07 20  STA $2007 = 00                  A:00 X:CC Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C037  CA        DEX                             A:00 X:CC Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C038  D0 FA     BNE $C034                       A:00 X:CB Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C034  8D 07 20  STA $2007 = 00                  A:00 X:CB Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C037  CA        DEX                             A:00 X:CB Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C038  D0 FA     BNE $C034                       A:00 X:CA Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C034  8D 07 20  STA $2007 = 00                  A:00 X:CA Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C037  CA        DEX                             A:00 X:CA Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C038  D0 FA     BNE $C034                       A:00 X:C9 Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C034  8D 07 20  STA $2007 = 00                  A:00 X:C9 Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C037  CA        DEX                             A:00 X:C9 Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C038  D0 FA     BNE $C034                       A:00 X:C8 Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C034  8D 07 20  STA $2007 = 00                  A:00 X:C8 Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C037  CA        DEX                             A:00 X:C8 Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C038  D0 FA     BNE $C034                       A:00 X:C7 Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C034  8D 07 20  STA $2007 = 00                  A:00 X:C7 Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C037  CA        DEX                             A:00 X:C7 Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C038  D0 FA     BNE $C034                       A:00 X:C6 Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C034  8D 07 20  STA $2007 = 00                  A:00 X:C6 Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C037  CA        DEX                             A:00 X:C6 Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C038  D0 FA     BNE $C034                       A:00 X:C5 Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C034  8D 07 20  STA $2007 = 00                  A:00 X:C5 Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C037  CA        DEX                             A:00 X:C5 Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C038  D0 FA     BNE $C034                       A:00 X:C4 Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C034  8D 07 20  STA $2007 = 00                  A:00 X:C4 Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
C037  CA        DEX                             A:00 X:C4 Y:0F P:A4 SP:FF PPU: NOT IMPLEMENTED YET
